concert_title,category,content,img_url
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul,입장 및 관람 규칙,"2023년 10월 18일 YES24 LIVE HALL에서 진행된 '핑크스웨츠 내한공연'의 경우, 공연 시작 1시간 30분 전부터 입장이 가능했어요. 공연 시작 시간에 맞춰 너무 늦지 않게 도착하시는 것이 좋답니어요. 외부 음식물은 반입이 불가하며, 공연 중 다른 관객의 관람에 방해가 될 수 있는 큰 꽃다발 같은 물품은 제한될 수 있어요. 안전을 위해 무기류, 폭죽 등 위험 물품은 엄격히 금지돼요. 아티스트의 저작권 및 초상권 보호를 위해 공연장 내 모든 사진 및 동영상 촬영, 녹음 등 일체의 기록 행위는 엄격히 금지되었어요. 적발 시 데이터 삭제 및 강제 퇴장 조치될 수 있으니 유의해 주세요.",
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul,티켓팅 및 가격 정보,"2023년 10월 18일 '핑크스웨츠 내한공연'의 티켓 가격은 스탠딩 A, 스탠딩 B, 그리고 지정석(2층) 모두 99,000원이었어요. 예매는 YES24 티켓 단독으로 진행되었으며, 별도의 선예매나 팬클럽 예매는 공식적으로 발표되지 않았어요.",
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul,공연장 편의시설,공연이 진행되었던 YES24 LIVE HALL은 전용 주차 공간이 없어서 대중교통 이용을 권장하고 있어요. 지하철 5호선 광나루역 2번 출구에서 도보로 약 3분 거리에 있어 접근성이 매우 좋답니어요. 인근 공영 주차장이나 유료 주차장을 이용하셔야 해요. 공연장 내에는 유료 물품보관함이 운영되어 편리하게 이용할 수 있었어요. 공연 관련 굿즈샵이나 카페는 당시 공식적으로 안내된 바 없었어요.,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY",입장 및 관람 규칙,"콘서트장 입장은 공연 시작 1시간 전부터 가능하며, 원활한 관람을 위해 공연 시작 30분 전까지 도착하시는 것을 권장합니어요. 티켓이 없으면 어떠한 이유로도 입장이 불가하니 꼭 지참해주세요. 공연 시작 후에는 입장이 제한될 수 있어요. 객석 내에서는 생수를 제외한 모든 음식물 섭취가 금지되어 있어요. 꽃다발, 폭죽, 레이저 포인터 등 위험한 물품은 반입이 금지되니 주의해주세요. 공연 중 사진, 동영상 촬영 및 녹음은 엄격히 금지돼요. 적발 시 녹화된 자료는 삭제되고 강제 퇴장될 수 있으니 유의하시기 바랍니어요.",https://ticketimage.yes24.com/image/upload/Perf/PerfDetail/202310/20231005_100913.jpg
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY",티켓팅 및 가격 정보,"이번 'SAKIYAMA SOUSHI 연주이야기 투어, DIARY' 콘서트의 티켓은 전석 88,000원(VAT 포함)으로 책정되었어요. 티켓은 YES24 티켓에서 단독으로 판매되었으며, 1인당 최대 4매까지 구매가 가능했어요. 현장 수령 시에는 예매자 본인의 신분증과 예매 내역서를 반드시 지참하여 본인 확인 후 티켓을 수령해야 합니어요.",https://ticketimage.yes24.com/image/upload/Perf/PerfDetail/202310/20231005_100913.jpg
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY",공연장 편의시설,"공연장인 YES24 LIVE HALL은 서울 광진구 구천면로 20에 위치해 있어요. 지하철 5호선 광나루역 2번 출구에서 도보로 약 5분 거리에 있어 대중교통 이용이 매우 편리합니어요. 버스 이용 시에도 광나루역에서 하차하시면 돼요. YES24 라이브홀 주차장은 공간이 협소하여 가급적 대중교통을 이용해주시길 권장드립니어요. 공연장 내에는 유료 물품보관함이 운영되나, 수량이 제한되어 있으니 참고해주세요.",https://ticketimage.yes24.com/image/upload/Perf/PerfDetail/202310/20231005_100913.jpg
에릭 마틴 내한공연,입장 및 관람 규칙,"2024년 4월 20일 개최된 'Eric Martin Live in Seoul' 콘서트 기준, 공연 시작 1시간 전부터 입장이 가능했어요. 쾌적한 관람을 위해 공연 시작 10분 전까지는 착석해 달라고 안내되었으며, 공연 시작 후에는 입장이 제한되거나 지연 입장 시 본인 좌석이 아닌 다른 좌석으로 안내받을 수 있었어요. 음식물, 주류, 꽃다발, 폭죽 등 공연에 지장을 줄 수 있는 물품은 반입이 금지되었어요. 공연 중 사진 및 동영상 촬영, 녹음 등은 일체 금지되었으며, 적발 시 녹음/녹화된 자료는 삭제되고 강제 퇴장 조치될 수 있었어요.",
에릭 마틴 내한공연,티켓팅 및 가격 정보,"2024년 4월 20일 개최된 'Eric Martin Live in Seoul' 콘서트의 티켓은 인터파크 티켓에서 단독 판매되었어요. 공식 확인된 티켓 가격은 R석 143,000원, S석 121,000원이었어요. 예매는 온라인으로만 진행되었어요. 2024년 2월 5일(월) 12:00 PM부터 11:59 PM까지 아티스트 선예매가 진행되었으며, 일반 예매는 2024년 2월 6일(화) 12:00 PM부터 시작되었어요.",
에릭 마틴 내한공연,공연장 편의시설,"2024년 4월 20일 개최된 'Eric Martin Live in Seoul' 콘서트는 블루스퀘어 마스터카드홀에서 진행되었어요. 블루스퀘어는 지하철 6호선 한강진역 2번 출구와 직접 연결되어 있어 대중교통 이용이 편리합니어요. 주차는 블루스퀘어 지하 주차장을 이용할 수 있으며, 공연 관람 시 4시간 5,000원의 요금이 적용되었습니다 (초과 시 10분당 1,000원 부과). 공연장 로비 내에 MD 부스가 운영되었고, 공연장 내 카페 및 편의점도 이용 가능했어요.",
ARGY 내한 콘서트 1st show in korea,입장 및 관람 규칙,공연 시작 60분 전부터 공연장 입장이 가능합니어요. 티켓 수령 및 입장은 공연 시작 1시간 전부터 공연장 입구에서 진행돼요. 원활한 입장을 위해 여유 있게 도착해 주시기를 권장합니어요.,
