concert_title,category,content,img_url
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul,공연장 편의시설,공연이 진행되는 YES24 LIVE HALL은 전용 주차 공간이 없어서 대중교통 이용을 권장하고 있어요. 지하철 5호선 광나루역 2번 출구에서 도보로 약 3분 거리에 있어 접근성이 매우 좋답니다. 인근 공영 주차장이나 유료 주차장을 이용하셔야 해요. 공연장 내에는 유료 물품보관함이 운영되어 편리하게 이용할 수 있어요.,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY",공연장 편의시설,"공연장인 웨스트브릿지 라이브홀 내에는 유료 물품보관함이 운영됩니다. 사용 시에는 동전 100원을 투입해야 하니 꼭 챙겨가셔야 해요!",https://ticketimage.yes24.com/image/upload/Perf/PerfDetail/202310/20231005_100913.jpg
에릭 마틴 내한공연,공연장 편의시설,"무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있어요. 120개의 물품 보관함이 있고, 500원 동전 2개를 투입해야 이용할 수 있으니 사용을 원하신다면 꼭 동전을 챙겨 가세요!",
ARGY 내한 콘서트 1st show in korea,공연장 편의시설,"공연장인 문화비축기지는 자체 주차장을 운영하고 있어요. 주차 요금은 5분당 150원이예요.",
PURA LANA #2 John Carroll Kirby [제주],공연장 소개,제주 서귀포시에 위치한 공연장 하우스오브레퓨즈는 제주시 애월읍 숲속에 20여 년간 방치됐던 폐건물에 새 생명을 불어넣어 탄생한 공간이예요. 공연에 참여하신다면 조금 일찍 와서 공연장 구경을 해보는 것도 좋은 경험이 될 거예요.,
Creepy Nuts ASIA TOUR in Seoul,공연장 편의시설,"공연은 예스24 라이브홀에서 진행돼요. 공연장 주차 공간이 매우 협소하고 만차 시 이용이 어려울 수 있으니, 가급적 대중교통 이용을 강력히 권장 드립니어요. 지하철 5호선 광나루역 2번 출구에서 도보로 약 5분 정도 거리에 위치해 있어 접근성이 좋어요. 공연장 내 상설 카페는 없지만, 공연 당일 주최 측에 의해 굿즈 판매 부스가 운영될 수 있어요. 굿즈 관련 상세 정보는 공연이 임박하여 아티스트 공식 채널이나 주최사 공지를 통해 확인하시는 것이 좋아요.",
toe New Album Release Tour: NOW WE SEE THE LIGHT [서울],공연장 편의시설,"무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있어요. 120개의 물품 보관함이 있고, 500원 동전 2개를 투입해야 이용할 수 있으니 사용을 원하신다면 꼭 동전을 챙겨 가세요!",
"NEMOPHILA Live, MVXS 5 [서울]",공연장 편의시설,예스24 원더로크홀에는 물품보관소와 동전교환기가 있으며 공연장 내 식음료 판매 여부 및 반입 가능 여부는 공연별로 다를 수 있어요. 주차 공간은 따로 제공되지 않으므로 대중교통 이용이 권장되며 화장실은 CGV 방향의 에스컬레이터를 사용하면 이용할 수 있어요.,
toconoma ISLAND World Tour [서울],공연장 편의시설,"공연장인 홍대 상상마당의 건물 주차장은 이용할 수 없지만 30분에 2,000원, 1시간에 4,000원으로 근처의 LG팰리스 공영주차장을 이용할 수 있어요. 홍대 근처에 위치해 혼잡할 수 있으니 대중교통 이용을 권장드려요.",
제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR,공연장 편의시설,"무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있어요. 120개의 물품 보관함이 있고, 500원 동전 2개를 투입해야 이용할 수 있으니 사용을 원하신다면 꼭 동전을 챙겨 가세요!",https://ticketimage.interpark.com/Play/image/L2024/24006155_2.gif
뮤즈 내한공연 (MUSE LIVE IN KOREA),공연장 편의시설,"인천 SSG 랜더스필드 (문학경기장)은 지하 및 지상 주차장을 자체적으로 운영하고 있어요. 총 주차대수 4002대로 넓은 주차장을 보유하고 있고, 하루에 2,000원으로 저렴하게 이용할 수 있어요. 24시간 운영되니 이용에 참고하세요.",
Ryokuoushoku Shakai ASIA TOUR 2024,공연장 편의시설,"공연이 열리는 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 5분 거리에 위치해 있어 대중교통 이용이 편리합니다. 공연장 자체 주차장이 매우 협소하므로, 대중교통 이용을 적극 권장해요. 공연장 내 물품보관함은 유료로 운영되니 필요하신 분들은 이용하실 수 있어요. 공연장 내 카페나 굿즈샵 운영에 대한 공식적인 정보는 확인되지 않았어요.",
Mei Semones Live [서울],티켓팅 및 가격 정보,"Mei Semones Live [서울] 콘서트의 티켓 가격은 전석 스탠딩 77,000원이었어요. 공식 예매는 예스24 티켓을 통해 진행되었으며, 티켓 오픈은 2024년 3월 12일 (화) 12시였어요. 팬클럽 선예매 등 기타 예매 방법에 대한 공식 발표는 확인되지 않어요.",
