title,artist,lyrics,pronunciation,translation,musixmatch_url
Aria,ARGY (아르지),,,,
Aria,ARGY (아르지),,,,
Aria,ARGY (아르지),,,,
Aria,ARGY (아르지),,,,
Aria,ARGY (아르지),,,,
Aria,ARGY (아르지),,,,
D.T.F.K.,ARGY (아르지),,,,
D.T.F.K.,ARGY (아르지),,,,
D.T.F.K.,ARGY (아르지),,,,
D.T.F.K.,ARGY (아르지),,,,
D.T.F.K.,ARGY (아르지),,,,
D.T.F.K.,ARGY (아르지),,,,
Daze,ARGY (아르지),,,,
Daze,ARGY (아르지),,,,
Daze,ARGY (아르지),,,,
Daze,ARGY (아르지),,,,
Daze,ARGY (아르지),,,,
Daze,ARGY (아르지),,,,
Dystopia,ARGY (아르지),,,,
Dystopia,ARGY (아르지),,,,
Dystopia,ARGY (아르지),,,,
Dystopia,ARGY (아르지),,,,
Dystopia,ARGY (아르지),,,,
Dystopia,ARGY (아르지),,,,
Eternity,ARGY (아르지),,,,
Eternity,ARGY (아르지),,,,
Eternity,ARGY (아르지),,,,
Eternity,ARGY (아르지),,,,
Eternity,ARGY (아르지),,,,
Eternity,ARGY (아르지),,,,
Higher Power,ARGY (아르지),"Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat?

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind

Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind",,,
Higher Power,ARGY (아르지),"Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat?

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind

Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind",,,
Higher Power,ARGY (아르지),"Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat?

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind

Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind",,,
Higher Power,ARGY (아르지),"Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat?

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind

Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind",,,
Higher Power,ARGY (아르지),"Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat?

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind

Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind",,,
Higher Power,ARGY (아르지),"Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat?

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind

Am I closer? Have I lost my mind?
The sun is burning me
Is it broken? There's a rift in time
Should I take defeat

Even if I find a higher power
Something tells me it won't be enough
And even if this desert starts to flower
I'll still find a way to spill my blood

I think I lost my mind
I feel a rift in time
I think I lost my mind",,,
Ketuvim,ARGY (아르지),,,,
Ketuvim,ARGY (아르지),,,,
Ketuvim,ARGY (아르지),,,,
Ketuvim,ARGY (아르지),,,,
Ketuvim,ARGY (아르지),,,,
Ketuvim,ARGY (아르지),,,,
Look At Me,ARGY (아르지),,,,
Look At Me,ARGY (아르지),,,,
Look At Me,ARGY (아르지),,,,
Look At Me,ARGY (아르지),,,,
Look At Me,ARGY (아르지),,,,
Look At Me,ARGY (아르지),,,,
Mental Powers,ARGY (아르지),,,,
Mental Powers,ARGY (아르지),,,,
Mental Powers,ARGY (아르지),,,,
Mental Powers,ARGY (아르지),,,,
Mental Powers,ARGY (아르지),,,,
Mental Powers,ARGY (아르지),,,,
Muzem,ARGY (아르지),,,,
Muzem,ARGY (아르지),,,,
Muzem,ARGY (아르지),,,,
Muzem,ARGY (아르지),,,,
Muzem,ARGY (아르지),,,,
Muzem,ARGY (아르지),,,,
Pleasure,ARGY (아르지),,,,
Pleasure,ARGY (아르지),,,,
Pleasure,ARGY (아르지),,,,
Pleasure,ARGY (아르지),,,,
Pleasure,ARGY (아르지),,,,
Pleasure,ARGY (아르지),,,,
Tataki,ARGY (아르지),"Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki

Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki

Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki",,,
Tataki,ARGY (아르지),"Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki

Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki

Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki
Toom toom takita
Toom toom taka taki",,,
