id,concert_id,setlist_id,type,status,created_at,updated_at,concert_title,setlist_title
43,8,80,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
74,8,179,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
105,8,212,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
136,8,245,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
56,10,93,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
87,10,192,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
118,10,225,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
149,10,258,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
35,11,70,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
66,11,169,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
97,11,202,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
128,11,235,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
55,12,92,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
86,12,191,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
117,12,224,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
148,12,257,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
51,13,88,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
82,13,187,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
113,13,220,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
144,13,253,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
34,14,69,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
65,14,168,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
96,14,201,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
127,14,234,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
48,15,85,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
79,15,184,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
110,15,217,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
141,15,250,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
58,16,95,PAST,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
89,16,194,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
120,16,227,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
151,16,260,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
42,17,79,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
73,17,178,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
104,17,211,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
135,17,244,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
33,19,68,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
64,19,167,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
95,19,200,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
126,19,233,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
61,20,98,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,,
92,20,197,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,,
123,20,230,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,,
154,20,263,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,,
