id,concert_id,category,scheduled_at,created_at,updated_at,type
1097,12,콘서트,2025-09-06 19:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1098,28,콘서트,2025-09-29 19:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1099,30,콘서트,2023-10-28 19:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1100,14,콘서트,2023-11-23 20:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1101,19,콘서트,2023-12-16 18:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1102,48,콘서트,2024-03-17 15:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1103,22,콘서트,2024-03-17 17:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1104,44,콘서트,2024-05-18 19:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1105,8,콘서트,2024-05-22 20:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1106,13,콘서트,2024-08-18 17:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1107,49,콘서트,2025-08-04 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1108,47,콘서트,2025-08-09 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1109,46,콘서트,2025-08-13 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1110,45,콘서트,2025-08-14 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1111,43,콘서트,2025-08-23 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1112,42,콘서트,2025-08-24 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1113,41,콘서트,2025-08-26 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1114,11,콘서트,2025-09-06 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1115,10,콘서트,2025-09-13 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1116,15,콘서트,2025-09-13 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1117,16,콘서트,2025-09-13 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1118,18,콘서트,2025-09-14 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1119,17,콘서트,2025-09-14 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1120,20,콘서트,2025-09-18 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1121,21,콘서트,2025-09-20 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1122,23,콘서트,2025-09-21 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1123,26,콘서트,2025-09-27 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1124,24,콘서트,2025-09-27 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1125,27,콘서트,2025-09-27 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1126,25,콘서트,2025-09-27 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1127,29,콘서트,2025-10-01 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1128,31,콘서트,2025-10-02 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1129,33,콘서트,2025-10-11 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1130,34,콘서트,2025-10-11 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1131,35,콘서트,2025-10-18 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1132,36,콘서트,2025-10-19 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1133,37,콘서트,2025-10-21 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1134,39,콘서트,2025-10-25 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1135,38,콘서트,2025-10-25 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1136,40,콘서트,2025-10-25 00:00:00,2025-09-10 00:53:32.040,2025-09-10 00:53:32.040,CONCERT
1137,32,콘서트,2025-10-11 19:00:00,2025-09-10 14:57:47.454,2025-09-10 14:57:47.454,CONCERT
