artist_name,concert_title,category,content
ARGY (아르지),ARGY 내한 콘서트 1st show in korea,공연장 편의시설,공연장인 문화비축기지는 자체 주차장을 운영하고 있어요. 주차 요금은 5분당 150원이에요.
ASCA (아스카),ASCA ASIA TOUR [서울],공연장 편의시설,무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있었어요. 굿즈 판매 여부는 공연마다 다르니 확인해보세요.
CHRISTOPHER (크리스토퍼),크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],공연장 주차 정보,공연장 주변에는 여러 편의점을 쉽게 찾을 수 있지만 공연장인 KSPO DOME과 가장 가까운 편의점은 CU 올림픽공원1호점이에요. 핸드볼경기장과 KSPO DOME 사이에 있어요.
Elijah Woods (엘리야 우즈),Elijah Woods: Give Me The Sunlight [서울],공연장 편의시설,무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있어요. 500원 동전 2개를 투입해야 이용할 수 있으니 준비하세요.
Eric Martin (에릭 마틴),에릭 마틴 내한공연,공연장 편의시설,무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있어요. 500원 동전 2개를 투입해야 이용할 수 있으니 준비하세요.
Hitsujibungaku (히츠지분가쿠),"Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울]",공연장 주차 정보,"공연장 주변 주차 공간이 협소하므로 가급적 대중교통 이용을 권장하며, 차량 이용 시에는 인근 유료 공영주차장을 이용해야 해요."
Hitsujibungaku (히츠지분가쿠),"Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울]",공연장 편의시설,공연장인 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 3분 거리에 위치하고 있어 대중교통 이용이 매우 편리합니다.
Hitsujibungaku (히츠지분가쿠),"Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울]",물품보관함 정보,공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요.
Hot Milk (핫 밀크),"핫 밀크 첫 내한공연, Hot Milk Loud & Fast Tour Live [서울]",공연장 편의시설,"롤링홀은 상수역 1번 출구, 합정역 5번 출구에 가까이 위치하고 있어요. 대중교통이 편리하니 이용을 권장드려요."
Jacky Cheung (장학우),Jacky Cheung 60+ Concert Tour [인천],공연장 편의시설,공연장 내에서는 관객 여러분들을 위해 굿즈 판매 부스가 운영될 예정이었어요. 인스파이어 리조트 내 다양한 식음료 시설도 이용 가능해요.
JAKE MILLER (제이크 밀러),제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR,공연장 편의시설,무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있어요. 500원 동전 2개를 투입해야 이용할 수 있으니 준비하세요.
John Carroll Kirby (존 캐럴 커비),PURA LANA #2 John Carroll Kirby [제주],공연장 소개,제주 서귀포시에 위치한 공연장 하우스오브레퓨즈는 제주시 애월읍 숲속에 20여 년간 방치됐던 폐건물에 새 생명을 불어넣어 탄생한 멋진 공간이에요.
JVKE (제이크),"제이크 첫 단독 내한공연, JVKE LIVE IN SEOUL",공연장 주차 정보,"공연장인 올림픽공원 주차요금은 10분당 600원이고 일 최대 20,000원이에요. 주차 공간은 충분하나 혼잡할 수 있으니 대중교통 이용을 권장해요."
Konomi Suzuki (코노미 스즈키),Konomi Suzuki Asia Tour [서울],공연장 편의시설,공연장인 웨스트브릿지 라이브홀 내에는 유료 물품보관함이 운영됩니다. 사용 시에는 동전 100원을 투입해야 하니 꼭 챙겨가셔야 해요!
MAISONdes (메종드),MAISONdes LIVE: ROOM TO ROOM,공연장 주차 정보,"공연장 주변 주차 공간이 협소하므로 가급적 대중교통 이용을 권장하며, 차량 이용 시에는 인근 유료 공영주차장을 이용해야 해요."
MAISONdes (메종드),MAISONdes LIVE: ROOM TO ROOM,공연장 편의시설,공연장인 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 3분 거리에 위치하고 있어 대중교통 이용이 매우 편리합니다.
MAISONdes (메종드),MAISONdes LIVE: ROOM TO ROOM,물품보관함 정보,공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요.
Mei Semones (메이 시몬스),Mei Semones Live [서울],티켓팅 및 가격 정보,"Mei Semones Live [서울] 콘서트의 티켓 가격은 전석 스탠딩 77,000원이었어요. 예스24 티켓을 통해 2024년 3월 12일에 오픈되었어요."
Minami (미나미),Minami Earthtication [서울],공연장 주차 정보,"공연장 주변 주차 공간이 협소하므로 가급적 대중교통 이용을 권장하며, 차량 이용 시에는 인근 유료 공영주차장을 이용해야 해요."
Minami (미나미),Minami Earthtication [서울],공연장 편의시설,공연장인 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 3분 거리에 위치하고 있어 대중교통 이용이 매우 편리합니다.
Minami (미나미),Minami Earthtication [서울],물품보관함 정보,공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요.
MUSE (뮤즈),뮤즈 내한공연 (MUSE LIVE IN KOREA),공연장 편의시설,"인천 SSG 랜더스필드 (문학경기장)은 지하 및 지상 주차장을 자체적으로 운영하고 있어요. 총 주차대수 4002대로, 하루에 2,000원으로 저렴하게 이용할 수 있어요."
NEMOPHILA (네모필라),"NEMOPHILA Live, MVXS 5 [서울]",공연장 편의시설,예스24 원더로크홀에는 물품보관소와 동전교환기가 있으며 공연장 내 식음료 판매는 공연별로 다를 수 있어요. 주차장이 없으니 대중교통 이용을 권장해요.
Pink Sweat$ (핑크스웨츠),핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul,공연장 편의시설,공연이 진행되는 YES24 LIVE HALL은 전용 주차 공간이 없어서 대중교통 이용을 권장해요. 지하철 5호선 광나루역 2번 출구에서 도보 3분이에요.
SAKIYAMA SOUSHI (사키야마 소우시),"SAKIYAMA SOUSHI 연주이야기 투어, DIARY",공연장 편의시설,공연장인 웨스트브릿지 라이브홀 내에는 유료 물품보관함이 운영됩니다. 사용 시에는 동전 100원을 투입해야 하니 꼭 챙겨가셔야 해요!
SCANDAL (스캔들),"SCANDAL TOUR: LOVE, SPARK, JOY! [서울]",공연장 주차 정보,"공연장 주변 주차 공간이 협소하므로 가급적 대중교통 이용을 권장하며, 차량 이용 시에는 인근 유료 공영주차장을 이용해야 해요. 물품보관함도 있어요."
SCANDAL (스캔들),"SCANDAL TOUR: LOVE, SPARK, JOY! [서울]",공연장 편의시설,공연장인 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 3분 거리에 위치하고 있어 대중교통 이용이 매우 편리합니다.
SCANDAL (스캔들),"SCANDAL TOUR: LOVE, SPARK, JOY! [서울]",물품보관함 정보,공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요.
