setlist_title,song_title,setlist_date,order_index,fanchant,fanchant_point
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,I Feel Good,2025-09-29,1,,초반부부터 신나는 분위기로 관객들이 손 흔들며 점프
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Lows,2025-09-29,2,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Heaven,2025-09-29,3,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Paradise,2025-09-29,4,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,No Replacing You,2025-09-29,5,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,For Me,2025-09-29,6,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Cadillac Drive,2025-09-29,7,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Nothing Feels Better,2025-09-29,8,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Easy,2025-09-29,9,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Pink City,2025-09-29,10,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,17,2025-09-29,11,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,All My Assets,2025-09-29,12,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Soul Train,2025-09-29,13,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Run Through Fire,2025-09-29,14,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Lay Up,2025-09-29,15,,
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,At My Worst,2025-09-29,16,,후렴 'At my worst'에서 관객들이 떼창으로 호응
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Honesty,2025-09-29,17,,후렴 'You're all I need'에서 관객이 함께 따라 부르기
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,I Feel Good (Reprise),2025-09-29,18,,마지막 곡으로 다시 한번 에너지를 끌어올리며 관객과 소통
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,Ride With Me,2025-09-29,19,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",潜水,2025-10-18,1,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",Ito,2025-10-18,2,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",光あれ,2025-10-18,3,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",幽谷,2025-10-18,4,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",嘘じゃない,2025-10-18,5,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",栞,2025-10-18,6,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",過剰,2025-10-18,7,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",クレヨン,2025-10-18,8,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",塩と砂糖,2025-10-18,9,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",踊り,2025-10-18,10,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",そのまま,2025-10-18,11,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",ただいま,2025-10-18,12,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",ラン・ラン・ラン,2025-10-18,13,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",天を仰ぐ,2025-10-18,14,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",遠い春,2025-10-18,15,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",静寂,2025-10-18,16,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",逆光,2025-10-18,17,,
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",北斗,2025-10-18,18,,
에릭 마틴 내한공연 예상 셋리스트,Alive and Kickin',2025-09-17,1,,
에릭 마틴 내한공연 예상 셋리스트,"Daddy, Brother, Lover, Little Boy (The Electric Drill Song)",2025-09-17,2,,간주 드릴 솔로 시 관객 환호
에릭 마틴 내한공연 예상 셋리스트,American Beauty,2025-09-17,3,,
에릭 마틴 내한공연 예상 셋리스트,Promise Her the Moon,2025-09-17,4,,
에릭 마틴 내한공연 예상 셋리스트,Just Take My Heart,2025-09-17,5,,
에릭 마틴 내한공연 예상 셋리스트,Green-Tinted Sixties Mind,2025-09-17,6,,
에릭 마틴 내한공연 예상 셋리스트,My New Religion,2025-09-17,7,,
에릭 마틴 내한공연 예상 셋리스트,Take Cover,2025-09-17,8,,
에릭 마틴 내한공연 예상 셋리스트,Goin' Where the Wind Blows,2025-09-17,9,,
에릭 마틴 내한공연 예상 셋리스트,Colorado Bulldog,2025-09-17,10,,
에릭 마틴 내한공연 예상 셋리스트,Addicted to That Rush,2025-09-17,11,,
에릭 마틴 내한공연 예상 셋리스트,Shine,2025-09-17,12,,
에릭 마틴 내한공연 예상 셋리스트,Everyday,2025-09-17,13,,
에릭 마틴 내한공연 예상 셋리스트,Voodoo Kiss,2025-09-17,14,,
에릭 마틴 내한공연 예상 셋리스트,Lucky Stars,2025-09-17,15,,
에릭 마틴 내한공연 예상 셋리스트,To Be With You,2025-09-17,16,,후렴구에서 팬들과 함께 부르는 구간
에릭 마틴 내한공연 예상 셋리스트,Wild World,2025-09-17,17,,후렴구에서 팬들과 함께 부르는 구간
에릭 마틴 내한공연 예상 셋리스트,Road to Ruin,2025-09-17,18,,
ARGY 내한 콘서트 1st show in korea 예상 셋리스트,Ketuvim,2025-09-13,1,,
ARGY 내한 콘서트 1st show in korea 예상 셋리스트,Tataki,2025-09-13,2,,
ARGY 내한 콘서트 1st show in korea 예상 셋리스트,Aria,2025-09-13,3,,
ARGY 내한 콘서트 1st show in korea 예상 셋리스트,Higher Power,2025-09-13,4,,
ARGY 내한 콘서트 1st show in korea 예상 셋리스트,When I'm Falling,2025-09-13,5,,
ARGY 내한 콘서트 1st show in korea 예상 셋리스트,The World Is Not Enough,2025-09-13,6,,
ARGY 내한 콘서트 1st show in korea 예상 셋리스트,Pleasure,2025-09-13,7,,
