artist,code,title,start_date,end_date,status,poster,ticket_site,ticket_url,venue,label,introduction
MADKID (매드키드),PF269111,MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ],2025-09-06,2025-09-06,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF269111_250709_160919.jpg,,,대원 팝콘D 스퀘어,성원에 힘입은 앵콜 콘서트,"매력적인 일본 댄스-보컬 그룹, 매드키드(MADKID)입니다! 애니메이션 '방패 용사 성공담'의 오프닝 테마곡 'RISE'로 뜨거운 사랑을 받으며 한국 팬들에게도 깊은 인상을 남겼죠. 강렬한 퍼포먼스와 독특한 음악 스타일로 매번 완벽한 무대를 선사하고 있으며, 매드키드만의 에너지를 느낄 수 있는 라이브는 언제나 팬들을 열광시킨답니다."
CHRISTOPHER (크리스토퍼),PF268047,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],2025-09-06,2025-09-06,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF268047_250625_130308.jfif,,,올림픽공원 ),,"매력적인 음색과 뛰어난 프로듀싱 능력으로 전 세계 팬들을 사로잡은 덴마크 싱어송라이터 크리스토퍼입니다! 'Bad', 'Heartbeat', 'Irony' 등 수많은 히트곡으로 빌보드 차트를 휩쓸었죠. 특히 젠틀하고 로맨틱한 분위기로 한국 팬들에게도 '내한 1순위' 아티스트로 큰 사랑을 받고 있답니다. 감미로운 보컬과 세련된 사운드로 라이브 공연에서도 엄청난 퍼포먼스를 보여주는 아티스트예요."
Minami (미나미),PF267756,Minami Earthtication [서울],2025-09-12,2025-09-12,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF267756_250620_141005.jpg,기타 사이트,,예스24 라이브홀 ),,"독특한 음색과 폭발적인 가창력으로 마음을 사로잡는 일본의 싱어송라이터 미나미입니다! 애니메이션 '도메스틱한 그녀' OST 'カワキヲアメク (메마름을 외치다)'로 국내에서도 큰 사랑을 받고 있어요. 강렬한 록 사운드부터 섬세한 발라드까지 폭넓은 음악 스펙트럼을 자랑하며, 깊은 감정선으로 듣는 이들에게 진한 여운을 선사하는 아티스트입니다."
ARGY (아르지),PF273107,ARGY 내한 콘서트 1st show in korea,2025-09-13,2025-09-13,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF273107_250901_145356.jpg,,,문화비축기지,데뷔 후 첫 내한 콘서트,"ARGY는 세계적으로 사랑받는 그리스 출신의 DJ이자 프로듀서입니다! 멜로딕 테크노와 하우스 장르에서 독보적인 존재감을 자랑하며, 애프터라이프(Afterlife)와 같은 유명 레이블을 통해 수많은 히트곡을 발표했습니다. 그의 음악은 깊은 몰입감과 에너지를 선사하며, 전 세계 클러버들의 마음을 사로잡고 있어요. 특히 한국 팬들에게는 오랜 기다림 끝에 찾아온 그의 첫 내한 공연이 큰 화제를 모았답니다."
Jacky Cheung (장학우),PF270194,Jacky Cheung 60+ Concert Tour [인천],2025-09-13,2025-09-13,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF270194_250723_135750.gif,,,인스파이어,,"홍콩 4대 천왕 중 한 명이자 '가신(歌神)'으로 불리는 장학우입니다! 그의 감미로운 목소리와 폭발적인 가창력은 수십 년간 아시아 팬들을 매료시켰죠. 'Kiss Goodbye', 'Li Xiang Lan' 등 수많은 히트곡을 보유하고 있으며, 한국에서도 큰 사랑을 받고 있는 전설적인 아티스트입니다. 특히 'Jacky Cheung 60+ Concert Tour'는 그의 깊어진 음악 세계를 직접 만날 수 있는 특별한 기회로 팬들의 뜨거운 기대를 모으고 있습니다."
Gen Hoshino (호시노 겐),PF267180,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,2025-09-13,2025-09-13,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF267180_250613_135738.gif,,,올림픽공원,,"일본의 독보적인 싱어송라이터이자 배우, 작가로 다재다능한 매력을 뽐내는 호시노 겐입니다! 개성 넘치는 음악으로 폭넓은 팬층을 보유하고 있으며, 특히 드라마 '도망치는 건 부끄럽지만 도움이 된다'의 OST '恋 (코이)'는 '코이 댄스' 신드롬을 일으키며 전 아시아를 들썩이게 만들었어요. '도라에몽' 극장판 주제가 등 수많은 히트곡을 통해 대중성을 놓치지 않으면서도 자신만의 음악적 색깔을 확고히 하고 있죠. 한국에서도 그의 재치 있는 음악과 따뜻한 감성에 매료된 팬들이 많답니다."
"Tyler, The Creator (타일러, 더 크리에이터)",PF260472,"타일러, 더 크리에이터 내한공연 [고양]",2025-09-13,2025-09-14,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF260472_250306_151210.gif,,,킨텍스,,"독특한 음악 세계와 패션 감각으로 전 세계를 사로잡은 아티스트, 타일러, 더 크리에이터입니다! 'Flower Boy', 'IGOR', 'CALL ME IF YOU GET LOST' 등 발표하는 앨범마다 평단과 팬들의 극찬을 받으며 여러 차례 그래미 어워드를 수상했어요. 힙합을 넘어 재즈, 네오 소울 등 다양한 장르를 넘나드는 그의 음악은 한국에서도 두터운 팬층을 보유하고 있답니다. 그만의 독보적인 예술 세계와 에너지 넘치는 퍼포먼스는 늘 기대를 모으고 있어요!"
toconoma (토코노마),PF269733,toconoma ISLAND World Tour [서울],2025-09-14,2025-09-14,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF269733_250717_133932.jpg,,,KT&G 상상마당 라이브홀,,"에너제틱한 재즈 펑크 사운드로 많은 사랑을 받는 일본의 인스트루멘탈 밴드 토코노마입니다! 'Relief', 'Sunny' 등 귀에 착 감기는 멜로디와 신나는 리듬으로 한국에서도 두터운 팬층을 보유하고 있어요. 독특하면서도 세련된 연주로 공연장을 뜨겁게 달구는 매력이 넘치는 밴드랍니다. 토코노마는 과거 'toconoma ISLAND World Tour [Seoul]'로 2023년 10월 27일 예스24 라이브홀에서 한국 팬들을 만난 바 있습니다."
Tomoshibi (토모시비),PF271098,MAQIA presents ONEMAN TOUR: Tomoshibi,2025-09-14,2025-09-14,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF271098_250806_113207.jpg,,,롤링홀,,"Tomoshibi (토모시비)는 감성적인 멜로디와 서정적인 가사로 많은 사랑을 받고 있는 일본의 실력파 아티스트입니다. 주로 어쿠스틱 사운드를 기반으로 섬세하면서도 깊이 있는 음악 세계를 선보이며, 듣는 이들에게 따뜻한 위로와 감동을 선사하고 있어요. 특히, 밤하늘의 별처럼 반짝이는 보컬과 가슴을 울리는 사운드는 팬들에게 깊은 인상을 남기곤 합니다. 일본에서는 활발한 활동을 이어가고 있으며, 한국 팬들에게도 점차 이름을 알리고 있는 중입니다."
Eric Martin (에릭 마틴),PF271230,에릭 마틴 내한공연,2025-09-17,2025-09-17,UPCOMING,http://www.kopis.or.kr/upload/pfmPoster/PF_PF271230_250807_165112.gif,,,무신사 개러지 ),Mr. Big 보컬 에릭 마틴 단독 내한 콘서트,"전설적인 록밴드 Mr. Big의 보컬 에릭 마틴입니다! 'To Be With You', 'Wild World' 등 수많은 히트곡을 탄생시킨 주인공으로, 특유의 감미로우면서도 폭발적인 가창력으로 전 세계 팬들을 사로잡았죠. 한국에서도 두터운 팬층을 보유하고 있으며, 솔로 활동으로도 꾸준히 팬들을 만나며 명불허전의 라이브 실력을 선보이고 있습니다."
