concert_title,category,scheduled_at
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul,팝/R&B 콘서트,2023년 9월 20일 (수) 20:00
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY",콘서트,2025-10-18
에릭 마틴 내한공연,락/메탈 내한공연,2023-12-16 18:00
ARGY 내한 콘서트 1st show in korea,해외 콘서트,2023-11-23 20:00:00
MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ],콘서트,2025-09-06
오아시스 내한공연 [고양],콘서트,2025-10-21
"Alexandros, Provoke Tour Live [서울]",콘서트,2025-08-23
TOMIOKA AI ASIA TOUR [서울],콘서트,2025-10-19
PURA LANA #2 John Carroll Kirby [제주],콘서트,2025-09-27
Pinyo Live Tour: ASTRO,콘서트,2025-08-23
Creepy Nuts ASIA TOUR in Seoul,콘서트,2024-04-25 20:00
toe New Album Release Tour: NOW WE SEE THE LIGHT [서울],콘서트,2025-10-01
"baby selects, 2hollis (투홀리스) 서울 공연 pt.2",콘서트,2023-08-19 18:00:00
JORDANN ASIA TOUR IN SEOUL,내한 콘서트,2023-10-28 19:00:00
"NEMOPHILA Live, MVXS 5 [서울]",콘서트,2025-10-25
"현대카드 Curated 100, Summer Salt",내한 콘서트,2023-08-10 20:00
챤미나 내한공연: CHANMINA AREA OF DIAMOND3,콘서트,2025-09-18
폼파돌스 (PompadollS) 라이브 [서울],콘서트,2025-09-28
DEPAPEKO (데파페코) 내한공연,콘서트,2024-03-17 15:00
toconoma ISLAND World Tour [서울],콘서트,2025-09-14
제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR,콘서트,2024-05-22 20:00
톰 그래넌 내한공연 GRENNAN'25,콘서트,2025-10-02
뮤즈 내한공연 (MUSE LIVE IN KOREA),콘서트,2025-09-27
"녹황색사회 Asia Tour 2024 ""鳴り響く""",콘서트,2024년 7월 21일 18시 00분
Mei Semones Live [서울],콘서트,2025-08-04
ASCA ASIA TOUR [서울],콘서트,2025-09-27
Jacky Cheung 60+ Concert Tour [인천],콘서트,2025-09-13
"SCANDAL TOUR: LOVE, SPARK, JOY! [서울]",콘서트,2025-09-27
Elijah Woods: Give Me The Sunlight [서울],콘서트,2025-08-14
Daoko THE YOU ZIZAI ASIA TOUR [서울],콘서트,2025-09-20
Minami Earthtication [서울],콘서트,2024-08-18T17:00:00
Novelbright LIVE TOUR [서울],콘서트,2025-10-11
My Dying Bride 내한공연,콘서트,2025-09-21
yama Asia Tour: 호시탐탐 [서울],콘서트,2025-10-11
크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],콘서트,2024년 11월 20일 (수) 20:00
Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,콘서트,2025-09-13
TAKANE NO NADESHIKO LIVE SUMMER in SEOUL,콘서트,2025-08-24
"제이크 첫 단독 내한공연, JVKE LIVE IN SEOUL",내한 콘서트,2024-05-18 19:00
"핫 밀크 첫 내한공연, Hot Milk Loud & Fast Tour Live [서울]",콘서트,2025-08-13
티나셰 내한공연,콘서트,2025-08-26
Konomi Suzuki Asia Tour [서울],콘서트,2025-10-25
"타일러, 더 크리에이터 내한공연 [고양]",콘서트,2025-09-13
SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,내한 콘서트,2024-03-17 17:00:00
MAISONdes LIVE: ROOM TO ROOM,콘서트,2025-08-09
트래비스 스캇 첫 단독 내한공연 [고양],콘서트,2025-10-25
"Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울]",콘서트,2025-09-18
MAQIA presents ONEMAN TOUR: Tomoshibi,콘서트,2025-09-14
