title,start_date,end_date,img_url,artist,venue
핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트,2025-09-29,2025-09-29,http://www.kopis.or.kr/upload/pfmPoster/PF_PF269839_250718_140304.jpg,Pink Sweat$ (핑크스웨츠),예스24 라이브홀 )
"SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트",2025-10-18,2025-10-18,http://www.kopis.or.kr/upload/pfmPoster/PF_PF270729_250731_131420.jpg,SAKIYAMA SOUSHI (사키야마 소우시),웨스트브릿지 라이브홀
에릭 마틴 내한공연 예상 셋리스트,2025-09-17,2025-09-17,http://www.kopis.or.kr/upload/pfmPoster/PF_PF271230_250807_165112.gif,Eric Martin (에릭 마틴),무신사 개러지 )
ARGY 내한 콘서트 1st show in korea 예상 셋리스트,2025-09-13,2025-09-13,http://www.kopis.or.kr/upload/pfmPoster/PF_PF273107_250901_145356.jpg,ARGY (아르지),문화비축기지
MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ] 예상 셋리스트,2025-09-06,2025-09-06,http://www.kopis.or.kr/upload/pfmPoster/PF_PF269111_250709_160919.jpg,MADKID (매드키드),대원 팝콘D 스퀘어
오아시스 내한공연 [고양] 예상 셋리스트,2025-10-21,2025-10-21,http://www.kopis.or.kr/upload/pfmPoster/PF_PF254817_241128_113659.gif,Oasis (오아시스),고양종합운동장
TOMIOKA AI ASIA TOUR [서울] 예상 셋리스트,2025-10-19,2025-10-19,http://www.kopis.or.kr/upload/pfmPoster/PF_PF270251_250724_130322.jpg,TOMIOKA AI (토미오카 아이),예스24 원더로크홀
PURA LANA #2 John Carroll Kirby [제주] 예상 셋리스트,2025-09-27,2025-09-27,http://www.kopis.or.kr/upload/pfmPoster/PF_PF272001_250819_100900.gif,John Carroll Kirby (존 캐럴 커비),하우스오브레퓨즈
Creepy Nuts ASIA TOUR in Seoul 예상 셋리스트,2025-10-18,2025-10-19,http://www.kopis.or.kr/upload/pfmPoster/PF_PF268911_250710_112741.jpg,Creepy Nuts (크리피 너츠),예스24 라이브홀 )
toe New Album Release Tour: NOW WE SEE THE LIGHT [서울] 예상 셋리스트,2025-10-01,2025-10-01,http://www.kopis.or.kr/upload/pfmPoster/PF_PF264091_250430_102242.gif,toe (토),무신사 개러지 )
JORDANN ASIA TOUR IN SEOUL 예상 셋리스트,2025-10-01,2025-10-01,http://www.kopis.or.kr/upload/pfmPoster/PF_PF271815_250818_111439.gif,JORDANN (조던),롤링홀
"NEMOPHILA Live, MVXS 5 [서울] 예상 셋리스트",2025-10-25,2025-10-25,http://www.kopis.or.kr/upload/pfmPoster/PF_PF272043_250819_112748.jpg,NEMOPHILA (네모필라),예스24 원더로크홀
챤미나 내한공연: CHANMINA AREA OF DIAMOND3 예상 셋리스트,2025-09-18,2025-09-18,http://www.kopis.or.kr/upload/pfmPoster/PF_PF268061_250625_132754.gif,CHANMINA (챤미나),무신사 개러지 )
toconoma ISLAND World Tour [서울] 예상 셋리스트,2025-09-14,2025-09-14,http://www.kopis.or.kr/upload/pfmPoster/PF_PF269733_250717_133932.jpg,toconoma (토코노마),KT&G 상상마당 라이브홀
제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR 예상 셋리스트,2025-09-27,2025-09-27,http://www.kopis.or.kr/upload/pfmPoster/PF_PF268438_250703_114113.gif,JAKE MILLER (제이크 밀러),무신사 개러지 )
