title,artist,setlist_id,order,lyrics,pronunciation,translation,musixmatch_url
Pink City,Pink Sweat$ (핑크스웨츠),434,1,,,,
No Replacing You,Pink Sweat$ (핑크스웨츠),434,2,,,,
I Feel Good (Reprise),Pink Sweat$ (핑크스웨츠),434,3,,,,
Lows,Pink Sweat$ (핑크스웨츠),434,4,,,,
Soul Train,Pink Sweat$ (핑크스웨츠),434,5,,,,
Run Through Fire,Pink Sweat$ (핑크스웨츠),434,6,,,,
At My Worst,Pink Sweat$ (핑크스웨츠),434,7,,,,
Nothing Feels Better,Pink Sweat$ (핑크스웨츠),434,8,,,,
17,Pink Sweat$ (핑크스웨츠),434,9,,,,
All My Assets,Pink Sweat$ (핑크스웨츠),434,10,,,,
I Feel Good,Pink Sweat$ (핑크스웨츠),434,11,,,,
Heaven,Pink Sweat$ (핑크스웨츠),434,12,,,,
Cadillac Drive,Pink Sweat$ (핑크스웨츠),434,13,,,,
Honesty,Pink Sweat$ (핑크스웨츠),434,14,,,,
Lay Up,Pink Sweat$ (핑크스웨츠),434,15,,,,
Easy,Pink Sweat$ (핑크스웨츠),434,16,,,,
Ride With Me,Pink Sweat$ (핑크스웨츠),434,17,,,,
For Me,Pink Sweat$ (핑크스웨츠),434,18,,,,
踊り,SAKIYAMA SOUSHI (사키야마 소우시),435,1,,,,
嘘じゃない,SAKIYAMA SOUSHI (사키야마 소우시),435,2,,,,
ラン・ラン・ラン,SAKIYAMA SOUSHI (사키야마 소우시),435,3,,,,
そのまま,SAKIYAMA SOUSHI (사키야마 소우시),435,4,,,,
クレヨン,SAKIYAMA SOUSHI (사키야마 소우시),435,5,,,,
Ito,SAKIYAMA SOUSHI (사키야마 소우시),435,6,,,,
過剰,SAKIYAMA SOUSHI (사키야마 소우시),435,7,,,,
潜水,SAKIYAMA SOUSHI (사키야마 소우시),435,8,,,,
栞,SAKIYAMA SOUSHI (사키야마 소우시),435,9,,,,
天を仰ぐ,SAKIYAMA SOUSHI (사키야마 소우시),435,10,,,,
光あれ,SAKIYAMA SOUSHI (사키야마 소우시),435,11,,,,
幽谷,SAKIYAMA SOUSHI (사키야마 소우시),435,12,,,,
静寂,SAKIYAMA SOUSHI (사키야마 소우시),435,13,,,,
塩と砂糖,SAKIYAMA SOUSHI (사키야마 소우시),435,14,,,,
逆光,SAKIYAMA SOUSHI (사키야마 소우시),435,15,,,,
北斗,SAKIYAMA SOUSHI (사키야마 소우시),435,16,,,,
遠い春,SAKIYAMA SOUSHI (사키야마 소우시),435,17,,,,
ただいま,SAKIYAMA SOUSHI (사키야마 소우시),435,18,,,,
Voodoo Kiss,Eric Martin (에릭 마틴),436,1,,,,
Goin' Where the Wind Blows,Eric Martin (에릭 마틴),436,2,,,,
"Daddy, Brother, Lover, Little Boy (The Electric Dr",Eric Martin (에릭 마틴),436,3,,,,
Colorado Bulldog,Eric Martin (에릭 마틴),436,4,,,,
Green-Tinted Sixties Mind,Eric Martin (에릭 마틴),436,5,,,,
Lucky Stars,Eric Martin (에릭 마틴),436,6,,,,
Shine,Eric Martin (에릭 마틴),436,7,,,,
My New Religion,Eric Martin (에릭 마틴),436,8,,,,
Just Take My Heart,Eric Martin (에릭 마틴),436,9,,,,
Promise Her the Moon,Eric Martin (에릭 마틴),436,10,,,,
Wild World,Eric Martin (에릭 마틴),436,11,,,,
Road to Ruin,Eric Martin (에릭 마틴),436,12,,,,
