title,artist,setlist_id,order,lyrics,pronunciation,translation,musixmatch_url
さよならメモリーズ,Daoko (다오코),1000,1,,,,
もしもぼくらがGAMEの主役で,Daoko (다오코),1000,2,,,,
打上花火,Daoko (다오코),1000,3,,,,
anima,Daoko (다오코),1000,4,,,,
ぼくらのDAYS,Daoko (다오코),1000,5,,,,
御伽の街,Daoko (다오코),1000,6,,,,
おかえり,Daoko (다오코),1000,7,,,,
ステップアップLOVE,Daoko (다오코),1000,8,,,,
水星,Daoko (다오코),1000,9,,,,
終わらない世界で,Daoko (다오코),1000,10,,,,
カルマ,Daoko (다오코),1000,11,,,,
Dimension,Daoko (다오코),1000,12,,,,
オワラセナイト,Daoko (다오코),1000,13,,,,
メギツネ,Daoko (다오코),1000,14,,,,
BOY,Daoko (다오코),1000,15,,,,
さみしいかみさま,Daoko (다오코),1000,16,,,,
BANG!,Daoko (다오코),1000,17,,,,
かけてあげる,Daoko (다오코),1000,18,,,,
Higher,Daoko (다오코),1000,19,,,,
DAOKO,Daoko (다오코),1000,20,,,,
拝啓グッバイ,Daoko (다오코),1000,21,,,,
ARE WE STILL FRIENDS?,"Tyler, The Creator (타일러, 더 크리에이터)",1001,1,"Dream
Just dream
Long ago, long ago, long ago
Dream
Just dream

Are we still friends? Can we be friends?
Are we still friends? I've got to kno-
Know
(If we can) see each other
Shake your hand, say hi
Long ago, long ago, long ago

I can't stop you, I can rock, too
I've been back there and I can, I got to
But I've got to know

Are we still friends? Can we be friends?
Are we still friends? Can we be (can we be friends?)
Are we still friends? Can we be friends? (Yeah)
Are we still friends?

(La-la-la-la-la-la-la)
Are we still friends? Are we still friends?
Are we still friends? Are we still friends?
Are we still friends? (Friends, friends)
I said, are we still friends? (Friends, friends)
Are we still friends? (Friends, friends, friends, friends, friends)

Don't get green skin (green skin), keep contact (keep contact)
Don't say, ""Goodbye, smell you later"" (later)
Nah, I can't
I don't want to end the season on a bad episode, nigga, nah

Bouncing off things and you don't know how you fall
Your power is drained, so you cannot go through walls
You're caught in this matrix, from the way you play it
You hate it, it could be your favorite if you make it your friend

(Friends)
Are we still friends? (This can't end)
Are we still friends? (I still wanna say hi)
Are we, are we, are we, are we still friends?
Oh whoa

Can't say goodbye (yeah, ah, ah)
Can't say goodbye, goodbye (woo)","드림
저스트 드림
롱 어고, 롱 어고, 롱 어고
드림
저스트 드림
아 위 스틸 프렌즈? 캔 위 비 프렌즈?
아 위 스틸 프렌즈? 아이브 갓 투 노-
노우
(이프 위 캔) 시 이치 어덜
셰이크 유어 핸드, 세이 하이
롱 어고, 롱 어고, 롱 어고
아이 캔트 스탑 유, 아이 캔 락 투
아이브 빈 백 데어 앤드 아이 캔, 아이 갓 투
벗 아이브 갓 투 노우
아 위 스틸 프렌즈? 캔 위 비 프렌즈?
아 위 스틸 프렌즈? 캔 위 비
아 위 스틸 프렌즈? 캔 위 비 프렌즈?
아 위 스틸 프렌즈?
(라-라-라-라-라-라-라)
아 위 스틸 프렌즈? 아 위 스틸 프렌즈?
아 위 스틸 프렌즈? 아 위 스틸 프렌즈?
아 위 스틸 프렌즈?
아이 세드, 아 위 스틸 프렌즈?
아 위 스틸 프렌즈?
돈 겟 그린 스킨, 킵 컨택트
돈 세이, ""굿바이, 스멜 유 레이터""
나, 아이 캔트
아이 돈트 원트 투 엔드 더 시즌 온 어 배드 에피소드, 니거, 나
바운싱 오프 띵스 앤드 유 돈트 노우 하우 유 폴
유어 파워 이즈 드레인드, 소 유 케낫 고 스루 월즈
유어 콧 인 디스 매트릭스, 프롬 더 웨이 유 플레이 잇
유 헤잇 잇, 잇 굳 비 유어 페이버릿 이프 유 메이크 잇 유어 프렌드
(프렌즈)
아 위 스틸 프렌즈?
아 위 스틸 프렌즈?
아 위, 아 위, 아 위, 아 위 스틸 프렌즈?
오우 우아
캔트 세이 굿바이
캔트 세이 굿바이, 굿바이","꿈
그냥 꿈
오래 전, 오래 전, 오래 전
꿈
그냥 꿈
우리 아직 친구야? 우리 친구 할 수 있어?
우리 아직 친구야? 내가 알아야겠어-
알아야 해
(만약 우리가) 서로 볼 수 있다면
네 손을 잡고, 안녕하세요 하고
오래 전, 오래 전, 오래 전
널 막을 수 없어, 나도 잘 할 수 있어
내가 거기 다시 가봤고 할 수 있어, 해야 해
하지만 알아야겠어
우리 아직 친구야? 우리 친구 할 수 있어?
우리 아직 친구야? 우리 친구 할 수 있어?
우리 아직 친구야? 우리 친구 할 수 있어?
우리 아직 친구야?
(라-라-라-라-라-라-라)
우리 아직 친구야? 우리 아직 친구야?
우리 아직 친구야? 우리 아직 친구야?
우리 아직 친구야?
내가 말했잖아, 우리 아직 친구야?
우리 아직 친구야?
피부색 변하지 말고 (피부색 변하지 말고), 연락해 (연락해)
""잘가, 나중에 봐"" 라고 말하지 마 (나중에)
아니, 못 해
나쁜 에피소드로 시즌을 끝내고 싶지 않아, 자식아, 아니
이리저리 튕기는데 어떻게 넘어지는지 몰라
네 힘이 다 떨어졌어, 그래서 벽을 통과할 수 없어
넌 이 매트릭스에 갇혔어, 네가 하는 방식 때문에
넌 싫어하지만, 네 친구로 만들면 네가 제일 좋아할 수도 있어
(친구)
우리 아직 친구야?
우리 아직 친구야?
우리, 우리, 우리, 우리 아직 친구야?
오우 와
잘가라고 말할 수 없어
잘가라고 말할 수 없어, 잘가라고 말할 수 없어",
